,Comment,Class,Comment2,Comment3,Comment4
0,song racist,0,"['song', 'racist']","['song', 'racist']",song racist
1,many subscribers compared million,1,"['many', 'subscribers', 'compared', 'million']","['mani', 'subscrib', 'compar', 'million']",mani subscrib compar million
2,hi check awesome covers say think,1,"['hi', 'check', 'awesome', 'covers', 'say', 'think']","['hi', 'check', 'awesom', 'cover', 'say', 'think']",hi check awesom cover say think
3,well done shakira,0,"['well', 'done', 'shakira']","['well', 'done', 'shakira']",well done shakira
4,subscribe daily vines,1,"['subscribe', 'daily', 'vines']","['subscrib', 'daili', 'vine']",subscrib daili vine
5,part 2 holy mary pray us holy mother god pray us holy virgin virgins pray us mother christ pray us mother divine grace pray us mother pure pray us mother chaste pray us mother inviolate pray us mother undefiled pray us mother amiable pray us mother admirable pray us mother good counsel pray us mother creator pray us mother redeemer pray us,1,"['part', '2', 'holy', 'mary', 'pray', 'us', 'holy', 'mother', 'god', 'pray', 'us', 'holy', 'virgin', 'virgins', 'pray', 'us', 'mother', 'christ', 'pray', 'us', 'mother', 'divine', 'grace', 'pray', 'us', 'mother', 'pure', 'pray', 'us', 'mother', 'chaste', 'pray', 'us', 'mother', 'inviolate', 'pray', 'us', 'mother', 'undefiled', 'pray', 'us', 'mother', 'amiable', 'pray', 'us', 'mother', 'admirable', 'pray', 'us', 'mother', 'good', 'counsel', 'pray', 'us', 'mother', 'creator', 'pray', 'us', 'mother', 'redeemer', 'pray', 'us']","['part', '2', 'holi', 'mari', 'pray', 'us', 'holi', 'mother', 'god', 'pray', 'us', 'holi', 'virgin', 'virgin', 'pray', 'us', 'mother', 'christ', 'pray', 'us', 'mother', 'divin', 'grace', 'pray', 'us', 'mother', 'pure', 'pray', 'us', 'mother', 'chast', 'pray', 'us', 'mother', 'inviol', 'pray', 'us', 'mother', 'undefil', 'pray', 'us', 'mother', 'amiabl', 'pray', 'us', 'mother', 'admir', 'pray', 'us', 'mother', 'good', 'counsel', 'pray', 'us', 'mother', 'creator', 'pray', 'us', 'mother', 'redeem', 'pray', 'us']",part 2 holi mari pray us holi mother god pray us holi virgin virgin pray us mother christ pray us mother divin grace pray us mother pure pray us mother chast pray us mother inviol pray us mother undefil pray us mother amiabl pray us mother admir pray us mother good counsel pray us mother creator pray us mother redeem pray us
6,really 39 comprehend miley cyrus actually high profile tapes banging today video leeched sucking fucking video posted celebrity website miley celeb news co uk,1,"['really', '39', 'comprehend', 'miley', 'cyrus', 'actually', 'high', 'profile', 'tapes', 'banging', 'today', 'video', 'leeched', 'sucking', 'fucking', 'video', 'posted', 'celebrity', 'website', 'miley', 'celeb', 'news', 'co', 'uk']","['realli', '39', 'comprehend', 'miley', 'cyru', 'actual', 'high', 'profil', 'tape', 'bang', 'today', 'video', 'leech', 'suck', 'fuck', 'video', 'post', 'celebr', 'websit', 'miley', 'celeb', 'news', 'co', 'uk']",realli 39 comprehend miley cyru actual high profil tape bang today video leech suck fuck video post celebr websit miley celeb news co uk
7,nice song,0,"['nice', 'song']","['nice', 'song']",nice song
8,makes miss world cup,0,"['makes', 'miss', 'world', 'cup']","['make', 'miss', 'world', 'cup']",make miss world cup
9,facebook lame 2004 check swagfriends com make thousands cool new friends everyday join new movement,1,"['facebook', 'lame', '2004', 'check', 'swagfriends', 'com', 'make', 'thousands', 'cool', 'new', 'friends', 'everyday', 'join', 'new', 'movement']","['facebook', 'lame', '2004', 'check', 'swagfriend', 'com', 'make', 'thousand', 'cool', 'new', 'friend', 'everyday', 'join', 'new', 'movement']",facebook lame 2004 check swagfriend com make thousand cool new friend everyday join new movement
10,hope everyone good spirits 39 hard working student 39 also passionate singer look foward day make music share 39 covers check channel 39 done covers miley cyrus imagine dragons lana del rey drake macklemore pink countless others subscribe want goal 39 become famous inspire fyi 39 spamming everyone right freedom speech thanks,1,"['hope', 'everyone', 'good', 'spirits', '39', 'hard', 'working', 'student', '39', 'also', 'passionate', 'singer', 'look', 'foward', 'day', 'make', 'music', 'share', '39', 'covers', 'check', 'channel', '39', 'done', 'covers', 'miley', 'cyrus', 'imagine', 'dragons', 'lana', 'del', 'rey', 'drake', 'macklemore', 'pink', 'countless', 'others', 'subscribe', 'want', 'goal', '39', 'become', 'famous', 'inspire', 'fyi', '39', 'spamming', 'everyone', 'right', 'freedom', 'speech', 'thanks']","['hope', 'everyon', 'good', 'spirit', '39', 'hard', 'work', 'student', '39', 'also', 'passion', 'singer', 'look', 'foward', 'day', 'make', 'music', 'share', '39', 'cover', 'check', 'channel', '39', 'done', 'cover', 'miley', 'cyru', 'imagin', 'dragon', 'lana', 'del', 'rey', 'drake', 'macklemor', 'pink', 'countless', 'other', 'subscrib', 'want', 'goal', '39', 'becom', 'famou', 'inspir', 'fyi', '39', 'spam', 'everyon', 'right', 'freedom', 'speech', 'thank']",hope everyon good spirit 39 hard work student 39 also passion singer look foward day make music share 39 cover check channel 39 done cover miley cyru imagin dragon lana del rey drake macklemor pink countless other subscrib want goal 39 becom famou inspir fyi 39 spam everyon right freedom speech thank
11,,0,[],[],
12,good,0,['good'],['good'],good
13,subscribe youtube channel suscribite mi canal de youtube whatuknow,1,"['subscribe', 'youtube', 'channel', 'suscribite', 'mi', 'canal', 'de', 'youtube', 'whatuknow']","['subscrib', 'youtub', 'channel', 'suscribit', 'mi', 'canal', 'de', 'youtub', 'whatuknow']",subscrib youtub channel suscribit mi canal de youtub whatuknow
14,beautiful,0,['beautiful'],['beauti'],beauti
15,earn money online 0 efforts bit ly 14gkvdo,1,"['earn', 'money', 'online', '0', 'efforts', 'bit', 'ly', '14gkvdo']","['earn', 'money', 'onlin', '0', 'effort', 'bit', 'ly', '14gkvdo']",earn money onlin 0 effort bit ly 14gkvdo
16,check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape check new mixtape,1,"['check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape', 'check', 'new', 'mixtape']","['check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap', 'check', 'new', 'mixtap']",check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap check new mixtap
17,hello everyone intention spam truly sorry anyone annoyed please hear rapper singer music producer song writer making music eight years exact enjoy making types music anyone listen 39 talking killing anyone importantly focuses quality music please check page 39 click away thank nice day,1,"['hello', 'everyone', 'intention', 'spam', 'truly', 'sorry', 'anyone', 'annoyed', 'please', 'hear', 'rapper', 'singer', 'music', 'producer', 'song', 'writer', 'making', 'music', 'eight', 'years', 'exact', 'enjoy', 'making', 'types', 'music', 'anyone', 'listen', '39', 'talking', 'killing', 'anyone', 'importantly', 'focuses', 'quality', 'music', 'please', 'check', 'page', '39', 'click', 'away', 'thank', 'nice', 'day']","['hello', 'everyon', 'intent', 'spam', 'truli', 'sorri', 'anyon', 'annoy', 'pleas', 'hear', 'rapper', 'singer', 'music', 'produc', 'song', 'writer', 'make', 'music', 'eight', 'year', 'exact', 'enjoy', 'make', 'type', 'music', 'anyon', 'listen', '39', 'talk', 'kill', 'anyon', 'importantli', 'focus', 'qualiti', 'music', 'pleas', 'check', 'page', '39', 'click', 'away', 'thank', 'nice', 'day']",hello everyon intent spam truli sorri anyon annoy pleas hear rapper singer music produc song writer make music eight year exact enjoy make type music anyon listen 39 talk kill anyon importantli focus qualiti music pleas check page 39 click away thank nice day
18,facebook lame 2004 check swagfriends com make thousands cool new friends everyday join new movement,1,"['facebook', 'lame', '2004', 'check', 'swagfriends', 'com', 'make', 'thousands', 'cool', 'new', 'friends', 'everyday', 'join', 'new', 'movement']","['facebook', 'lame', '2004', 'check', 'swagfriend', 'com', 'make', 'thousand', 'cool', 'new', 'friend', 'everyday', 'join', 'new', 'movement']",facebook lame 2004 check swagfriend com make thousand cool new friend everyday join new movement
19,could please check covers channel covers like adele kodaline imagine dragons please could spare minutes could listen one two covers feel free comment subscribe thank,1,"['could', 'please', 'check', 'covers', 'channel', 'covers', 'like', 'adele', 'kodaline', 'imagine', 'dragons', 'please', 'could', 'spare', 'minutes', 'could', 'listen', 'one', 'two', 'covers', 'feel', 'free', 'comment', 'subscribe', 'thank']","['could', 'pleas', 'check', 'cover', 'channel', 'cover', 'like', 'adel', 'kodalin', 'imagin', 'dragon', 'pleas', 'could', 'spare', 'minut', 'could', 'listen', 'one', 'two', 'cover', 'feel', 'free', 'comment', 'subscrib', 'thank']",could pleas check cover channel cover like adel kodalin imagin dragon pleas could spare minut could listen one two cover feel free comment subscrib thank
